City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Arraial Do Cabo,BR,-22.9661,-42.0278,68.74,95,100,14.79,overcast clouds
80,Miri,MY,4.4148,114.0089,89.74,70,40,6.91,scattered clouds
81,Ostrovnoy,RU,68.0531,39.5131,35.76,79,2,9.26,clear sky
82,Grafton,US,42.207,-71.6856,58.01,82,40,8.05,scattered clouds
83,Talas,TR,38.6908,35.5538,52.47,87,20,3.44,few clouds
84,Chokurdakh,RU,70.6333,147.9167,29.55,60,26,6.33,scattered clouds
85,Avera,US,33.194,-82.5271,62.65,30,100,16.02,overcast clouds
86,Ponta Delgada,PT,37.7333,-25.6667,68.72,64,75,10.36,broken clouds
87,Quesnel,CA,52.9999,-122.5029,55.9,88,75,0.0,broken clouds
88,Meihekou,CN,42.5272,125.6753,71.24,50,2,11.74,clear sky
89,Upernavik,GL,72.7868,-56.1549,29.03,88,98,9.64,overcast clouds
90,Saint-Joseph,RE,-21.3667,55.6167,68.38,65,44,12.06,scattered clouds
91,Greenfield,US,42.9614,-88.0126,46.71,86,0,0.0,clear sky
92,Havoysund,NO,70.9963,24.6622,46.63,84,37,10.94,scattered clouds
93,Port Lincoln,AU,-34.7333,135.8667,55.71,64,100,9.1,overcast clouds
94,Kholmogory,RU,64.2229,41.656,30.58,70,92,9.4,overcast clouds
95,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,75,12.66,light rain
96,Cabo San Lucas,MX,22.8909,-109.9124,83.61,83,0,7.4,clear sky
97,Tekeli,KZ,44.83,78.8239,50.14,49,100,5.84,overcast clouds
98,Santa Ana,US,33.7456,-117.8678,82.4,81,20,4.61,few clouds
99,Shangzhi,CN,45.2167,127.9667,75.63,43,21,13.29,few clouds
100,Mahebourg,MU,-20.4081,57.7,68.29,73,75,12.66,broken clouds
101,Geraldton,AU,-28.7667,114.6,84.61,21,30,24.16,scattered clouds
102,Bandrele,YT,-12.9067,45.1914,73.15,78,0,6.91,clear sky
103,Ust-Ilimsk,RU,58.0006,102.6619,39.04,70,90,4.99,overcast clouds
104,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,50.07,77,25,6.58,scattered clouds
105,Luanda,AO,-8.8368,13.2343,70.2,84,28,5.44,scattered clouds
106,Fort Nelson,CA,58.8053,-122.7002,53.19,66,75,8.05,broken clouds
107,Saint Anthony,US,45.0205,-93.218,51.96,63,0,6.91,clear sky
108,Cockburn Town,TC,21.4612,-71.1419,82.78,73,19,17.65,few clouds
109,Leningradskiy,RU,69.3833,178.4167,22.64,81,28,2.66,scattered clouds
110,Wamba,NG,8.9333,8.6,69.84,96,91,1.99,overcast clouds
111,Saurimo,AO,-9.6608,20.3916,62.51,96,44,4.36,scattered clouds
112,Mataura,NZ,-46.1927,168.8643,49.48,98,100,6.33,overcast clouds
113,Kupang,ID,-10.1667,123.5833,91.98,66,40,8.05,scattered clouds
114,Smithers,CA,54.7804,-127.1743,53.92,94,75,2.3,broken clouds
115,Arlit,NE,18.7369,7.3853,90.25,15,94,12.68,overcast clouds
116,Norman Wells,CA,65.282,-126.8329,39.24,60,20,6.91,few clouds
117,Carlyle,US,38.6103,-89.3726,53.51,81,1,5.84,clear sky
118,Pleszew,PL,51.8964,17.7855,45.43,91,88,6.26,overcast clouds
119,Macau,MO,22.2006,113.5461,87.85,89,40,11.5,light rain
120,Peleduy,RU,59.6289,112.7406,37.98,52,100,5.01,overcast clouds
121,Natal,BR,-5.795,-35.2094,79.02,78,20,9.22,few clouds
122,Nouadhibou,MR,20.931,-17.0347,78.78,73,99,12.66,overcast clouds
123,Mount Gambier,AU,-37.8333,140.7667,59.9,55,89,8.19,overcast clouds
124,Chara,RU,56.9064,118.2631,32.72,94,100,2.51,light snow
125,Bredasdorp,ZA,-34.5322,20.0403,54.23,88,100,4.83,overcast clouds
126,Cabra,ES,37.4725,-4.4421,57.02,83,23,4.0,few clouds
127,Te Anau,NZ,-45.4167,167.7167,44.67,95,100,6.13,overcast clouds
128,Cap-Aux-Meules,CA,47.3821,-61.8597,53.62,100,0,8.05,clear sky
