City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
621,Ghanaur,IN,81.64,30.3322,76.6072,clear sky,Khan Tea Stall
623,Xuanhua,CN,79.72,40.6103,115.0447,clear sky,Jinjiang Inn Zhangjiakou Xuanhua People's Park
627,Ajdabiya,LY,82.8,30.7554,20.2263,few clouds,منزلة الحاج سالم خليفة العيساويه الزواوي
631,Ambanja,MG,72.23,-13.6833,48.45,scattered clouds,Hotel Salama and Fast Food
633,Chengde,CN,84.27,40.9725,117.9361,clear sky,Super 8 Hotel
634,Black River,JM,78.66,18.0264,-77.8487,broken clouds,Idlers' Rest Beach Hotel
637,Ndende,GA,72.07,-2.4008,11.3581,overcast clouds,
638,Itarema,BR,77.74,-2.9248,-39.9167,scattered clouds,"Sea Lounge! Bar, Club & Restaurant"
640,Bela,IN,86.31,25.9333,81.9833,clear sky,Raj Bhawan
645,Vila Do Maio,CV,77.79,15.1333,-23.2167,clear sky,Hotel Marilu
647,Jalingo,NG,71.98,8.8833,11.3667,light rain,Debright Motel
654,Bushehr,IR,73.49,28.9684,50.8385,clear sky,Yas Hotel
655,Adamas,GR,74.23,36.7333,24.4333,few clouds,Aphrodite of Milos
656,Djibo,BF,80.13,14.1022,-1.6306,few clouds,Centre Des Ressources DPENA
660,Bardiyah,LY,80.56,31.7561,25.0865,clear sky,بورتو بردية
661,Huadian,CN,73.08,42.9633,126.7478,clear sky,Huadian Forestry Bureau
662,Tual,ID,82.06,-5.6667,132.75,broken clouds,Grand Vilia Hotel
664,Soyo,AO,72.73,-6.1349,12.3689,scattered clouds,Hospedaria ndozi'ame
668,Miyako,JP,74.79,39.6367,141.9525,clear sky,Hotel Route Inn Miyako
670,Pundaguitan,PH,81.73,6.3711,126.1689,overcast clouds,Leonardo Family Beach House 1
672,Santander Jimenez,MX,73.31,24.2167,-98.4667,scattered clouds,Papas inc
675,Gorontalo,ID,87.31,0.5412,123.0595,scattered clouds,Maqna Hotel by Prasanthi
676,Vaitape,PF,79.18,-16.5167,-151.75,clear sky,Conrad Bora Bora Nui
677,Jurado,CO,76.78,7.1053,-77.7641,overcast clouds,
680,Machilipatnam,IN,83.41,16.1667,81.1333,overcast clouds,R&B Bungalow
682,Buala,SB,85.66,-8.145,159.5921,broken clouds,Maringe Lagoon Lodge
683,Lakatoro,VU,82.15,-16.0999,167.4164,few clouds,Lakatoro Palm Lodge
684,Kashi,CN,72.61,39.4547,75.9797,few clouds,帕米尔青年旅舍
687,Salem,IN,79.0,11.65,78.1667,mist,YMCA PROGRAM CENTRE
688,Caravelas,BR,73.13,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
689,Igbo Ora,NG,70.88,7.4333,3.2833,overcast clouds,Pinkbell Inn
696,Jutai,BR,74.73,-5.1833,-68.9,scattered clouds,
697,Parrita,CR,77.97,9.5201,-84.3225,overcast clouds,Beso del Viento
705,Marabba,SD,78.13,12.35,32.1833,overcast clouds,
706,Belmopan,BZ,73.78,17.25,-88.7667,overcast clouds,Villa San Juan
707,Makakilo City,US,83.95,21.3469,-158.0858,clear sky,Marriott's Ko Olina Beach Club
711,Cairns,AU,86.11,-16.9167,145.7667,broken clouds,Mantra Trilogy Cairns
